Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Host,Collection_Date
EPI_ISL_374441,EPI1534681|A/chicken/Guizhou/Q1372/2018,A_chicken_Guizhou_Q1372_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374440,EPI1534680|A/chicken/Guizhou/Q1371/2018,A_chicken_Guizhou_Q1371_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374439,EPI1534679|A/chicken/Guizhou/Q1370/2018,A_chicken_Guizhou_Q1370_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374438,EPI1534678|A/chicken/Guizhou/Q1369/2018,A_chicken_Guizhou_Q1369_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374437,EPI1534677|A/chicken/Guizhou/Q1367/2018,A_chicken_Guizhou_Q1367_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374436,EPI1534676|A/chicken/Guizhou/Q1366/2018,A_chicken_Guizhou_Q1366_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374435,EPI1534675|A/chicken/Guizhou/Q1365/2018,A_chicken_Guizhou_Q1365_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374434,EPI1534674|A/chicken/Guizhou/Q1362/2018,A_chicken_Guizhou_Q1362_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374433,EPI1534673|A/chicken/Guizhou/Q1361/2018,A_chicken_Guizhou_Q1361_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374432,EPI1534672|A/chicken/Guizhou/Q1359/2018,A_chicken_Guizhou_Q1359_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374431,EPI1534671|A/chicken/Guizhou/Q1357/2018,A_chicken_Guizhou_Q1357_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374430,EPI1534670|A/chicken/Guizhou/Q1356/2018,A_chicken_Guizhou_Q1356_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374429,EPI1534669|A/chicken/Guizhou/Q1355/2018,A_chicken_Guizhou_Q1355_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374428,EPI1534668|A/chicken/Guizhou/Q1354/2018,A_chicken_Guizhou_Q1354_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374427,EPI1534667|A/chicken/Guizhou/Q1353/2018,A_chicken_Guizhou_Q1353_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374426,EPI1534666|A/chicken/Guizhou/Q1350/2018,A_chicken_Guizhou_Q1350_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374425,EPI1534665|A/chicken/Guizhou/Q1349/2018,A_chicken_Guizhou_Q1349_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374424,EPI1534664|A/chicken/Guizhou/Q1348/2018,A_chicken_Guizhou_Q1348_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374423,EPI1534663|A/chicken/Guizhou/Q1347/2018,A_chicken_Guizhou_Q1347_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374422,EPI1534662|A/chicken/Guizhou/Q1346/2018,A_chicken_Guizhou_Q1346_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374421,EPI1534661|A/chicken/Guizhou/Q1343/2018,A_chicken_Guizhou_Q1343_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374420,EPI1534660|A/chicken/Guizhou/Q1342/2018,A_chicken_Guizhou_Q1342_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374419,EPI1534659|A/chicken/Guizhou/Q1341/2018,A_chicken_Guizhou_Q1341_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374418,EPI1534658|A/chicken/Guizhou/Q1340/2018,A_chicken_Guizhou_Q1340_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374417,EPI1534657|A/chicken/Guizhou/Q1339/2018,A_chicken_Guizhou_Q1339_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374416,EPI1534656|A/chicken/Guizhou/Q1332/2018,A_chicken_Guizhou_Q1332_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374415,EPI1534655|A/chicken/Guizhou/Q1331/2018,A_chicken_Guizhou_Q1331_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374414,EPI1534654|A/chicken/Guizhou/Q1330/2018,A_chicken_Guizhou_Q1330_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374413,EPI1534653|A/chicken/Guizhou/Q1329/2018,A_chicken_Guizhou_Q1329_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374412,EPI1534652|A/chicken/Guizhou/Q1326/2018,A_chicken_Guizhou_Q1326_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374411,EPI1534651|A/chicken/Guizhou/Q1325/2018,A_chicken_Guizhou_Q1325_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374410,EPI1534650|A/chicken/Guizhou/Q1324/2018,A_chicken_Guizhou_Q1324_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374409,EPI1534649|A/chicken/Guizhou/Q1323/2018,A_chicken_Guizhou_Q1323_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374408,EPI1534648|A/chicken/Guizhou/Q1321/2018,A_chicken_Guizhou_Q1321_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374407,EPI1534647|A/chicken/Guizhou/Q1320/2018,A_chicken_Guizhou_Q1320_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374406,EPI1534646|A/chicken/Guizhou/Q1319/2018,A_chicken_Guizhou_Q1319_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374405,EPI1534645|A/chicken/Guizhou/Q1318/2018,A_chicken_Guizhou_Q1318_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374404,EPI1534644|A/chicken/Guizhou/Q1316/2018,A_chicken_Guizhou_Q1316_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374403,EPI1534643|A/chicken/Guizhou/Q1315/2018,A_chicken_Guizhou_Q1315_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374402,EPI1534642|A/chicken/Guizhou/Q1314/2018,A_chicken_Guizhou_Q1314_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374401,EPI1534641|A/chicken/Guizhou/Q1313/2018,A_chicken_Guizhou_Q1313_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374400,EPI1534640|A/chicken/Guizhou/Q1312/2018,A_chicken_Guizhou_Q1312_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374399,EPI1534639|A/chicken/Guizhou/Q1311/2018,A_chicken_Guizhou_Q1311_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374398,EPI1534638|A/chicken/Guizhou/Q1310/2018,A_chicken_Guizhou_Q1310_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374397,EPI1534637|A/chicken/Guizhou/Q1309/2018,A_chicken_Guizhou_Q1309_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374396,EPI1534636|A/chicken/Guizhou/Q1308/2018,A_chicken_Guizhou_Q1308_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374395,EPI1534635|A/chicken/Guizhou/Q1307/2018,A_chicken_Guizhou_Q1307_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374394,EPI1534634|A/chicken/Guizhou/Q1306/2018,A_chicken_Guizhou_Q1306_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374393,EPI1534633|A/chicken/Guizhou/Q1305/2018,A_chicken_Guizhou_Q1305_2018,A_/_H9N2,Chicken,2018-03-21
EPI_ISL_374392,EPI1534632|A/chicken/Guizhou/Q1304/2018,A_chicken_Guizhou_Q1304_2018,A_/_H9N2,Chicken,2018-03-21
